Q9VGZ5	MA2304.1
O61734	MA2305.1
P22058	MA2306.1
Q9VRV4	MA2307.1
P11420	MA2308.1
Q24312	MA2309.1
Q8IN81	MA2310.1
P33244	MA2311.1
P91623	MA2312.1
Q9W2K3	MA2313.1
A8DY91	MA2314.1
Q8SYK5	MA2315.1
Q8SZN9	MA2316.1
P22816	MA2317.1
Q95RQ8	MA2318.1
P22814	MA2319.1
Q9VA17	MA2320.1
P41894	MA2321.1
Q9VAB8	MA2322.1
Q63449	MA2323.1
Q9H165	MA2324.1
Q99814	MA2325.1
Q9UKS7	MA2326.1
P06401	MA2327.1
O75132	MA2328.1
O95625	MA2329.1
O43167	MA2330.1
P51786	MA2331.1
Q9Y473	MA2332.1
P13682	MA2333.1
Q8IVP9	MA2334.1
Q96NG5	MA2335.1
Q9Y5A6	MA2336.1
Q9Z0Y9	MA2337.1
P23204	MA2338.1
Q80Z64	MA2339.1
Q3V1Q5	MA2340.1
Q8TBJ5	MA2341.1
Q9LT23	MA2342.1
Q8H1P9	MA2343.1
Q9SE43	MA2344.1
Q6YPG7	MA2345.1
Q6H878	MA2346.1
Q7XUC2	MA2347.1
Q8RWX7	MA2348.1
A0A0P0XBU0	MA2349.1
Q6Z3R6	MA2350.1
Q0J0P1	MA2351.1
Q9S7G7	MA2352.1
Q9ZWK1	MA2362.1
Q9LVG2	MA2363.1
F6I360	MA2364.1
D7SH98	MA2365.1
Q9SLB9	MA2366.1
Q8W031	MA2367.1
Q93WU9	MA2368.1
Q9LQW3	MA2369.1
Q8LA53	MA2370.1
Q9CA52	MA2371.1
Q9SSW1	MA2372.1
Q9SSW2	MA2373.1
Q940I0	MA2374.1
Q9FH80	MA2375.1
O23463	MA2376.1
Q9FK12	MA2378.1
Q94AR6	MA2379.1
Q84K52	MA2380.1
Q9FIW5	MA2387.1
Q8LAU9	MA2388.1
P42774	MA2389.1
I1N7U7	MA2390.1
Q9SYT6	MA2391.1
B4FHU3	MA2392.1
A0A2K1KF05	MA2393.1
H1ACT2	MA2394.1
A0A2K1K6H1	MA2395.1
Q9LVQ7	MA2396.1
Q9FH37	MA2397.1
O04479	MA2398.1
Q75HX9	MA2401.1
Q0J525	MA2402.1
A0A498ICG5	MA2403.1
Q0JJZ1	MA2404.1
Q6ZHM5	MA2405.1
B4F7W2	MA2408.1
K7UY40	MA2414.1
A0A060D2G6	MA2415.1
B4FZ51	MA2417.1
Q32SG3	MA2418.1
Q9SM14	MA2420.1
A0A060CV13	MA2421.1
Q0DH66	MA2422.1
C7J6C6	MA2423.1
C7J717	MA2424.1
A4FVP6	MA2005.2
O22174	MA1376.2
P39678	MA0329.2
Q03081	MA0333.2
Q12041	MA0334.2
P53050	MA0336.2
P27705	MA0337.2
P53035	MA0338.2
P39943	MA0339.2
Q7SH58	MA1433.2
Q7RY86	MA0929.2
P38830	MA0343.2
P28349	MA1435.2
Q03125	MA0347.3
P20824	MA1436.2
P39720	MA0348.2
P21957	MA0349.2
P12383	MA0352.3
Q06149	MA0354.2
P36093	MA0355.2
P25502	MA0358.2
P11938	MA0359.3
Q08904	MA0360.2
P25611	MA0361.2
P19541	MA0362.2
P21538	MA0363.3
P48743	MA0365.2
P32862	MA0367.2
Q12224	MA0369.2
P39956	MA0372.2
Q06639	MA0374.2
P38781	MA0375.2
P78871	MA1431.2
P38165	MA0376.2
P20134	MA0377.2
P32432	MA0378.2
P46954	MA0380.2
P38889	MA0381.2
Q02100	MA0382.3
P53127	MA0384.2
P53438	MA0385.2
P13393	MA0386.2
P09007	MA0389.2
Q12427	MA0390.2
P38704	MA0395.2
Q05937	MA0396.2
Q07351	MA0397.2
P46676	MA0398.2
Q12286	MA0400.2
P08153	MA0402.2
Q02457	MA0403.3
Q04545	MA0431.2
P18412	MA0406.2
P34219	MA0350.2
P14164	MA0265.3
P53147	MA0408.2
P26370	MA0410.2
P39001	MA0412.3
Q12151	MA0411.2
Q04411	MA0422.2
Q12132	MA0413.2
Q01371	MA1437.2
P40489	MA0414.2
P19880	MA0415.2
P38749	MA0416.2
Q03935	MA0418.2
P39959	MA0423.2
P39961	MA0424.2
P53243	MA0425.2
P35995	MA0428.2
Q05854	MA0430.2
P34161	MA0433.2
Q12145	MA0434.2
Q12531	MA0435.2
Q12139	MA0436.2
Q12340	MA0438.2
Q12172	MA0439.2
P46974	MA0441.2
Q02486	MA0266.2
P05085	MA0272.2
Q04052	MA0273.2
P21192	MA0267.2
P22035	MA0278.2
P24813	MA0279.3
P39113	MA0280.2
P17106	MA0281.3
P40969	MA0282.2
P40917	MA0284.3
O59958	MA1432.2
P53968	MA0285.2
P40535	MA0286.2
P40059	MA0351.2
Q05958	MA0292.2
Q02710	MA0293.2
